id_sha256,outer_fold,referencia_humana,previsto,confianca
0253d36ae729f48d3da8f8fbb3fd0daee3e822ed2fc1b965f8ba2bbc88f5906e,1,Climatização > Ar condicionado split,Climatização > Ar condicionado split,0.136868
0254c6059733fcdb6c7b4310f9f842348cf0d6b9a51c23c9cceb15cb5ca8acfc,3,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.169712
027527551d17220cca6e3bfc6a754d39727284abeaf4d87f6560ee558b9992e7,1,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.138192
0277ee3f98643e20f1bb0d8bd14ef1be42400fb8375a8738b60e78a176cb3066,1,Elétrica > Iluminação,Elétrica > Iluminação,0.122001
028981b83a93eeabd8183d186c40cb447f8fe9080c1a32f18ffd0ae4d4afdf01,4,Elétrica > Iluminação,Elétrica > Iluminação,0.185924
028bb8dad01516983e617bd8737644047b90dcc28deb3cd75b3b84a455675291,2,"Estrutura Predial > Esquadrias, porta, portão e janelas","Estrutura Predial > Esquadrias, porta, portão e janelas",0.076795
0294ac08aea220e67a05698f63d51fefeadee99632048b03e8e47af76f9a6250,2,Estrutura Predial > Alvenaria / Pisos / Estrutura,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.044921
0295dc1898613634485bcf82032a7aa13516df59565751f08db188ad1535680e,3,Elétrica > Nobreak,Elétrica > Nobreak,0.11277
02a5cc8805fcd371157ddd2c13baa303a0fb5f4cd61a6a5bef3ba9f20e7884de,3,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.169712
02aa9d6d54afcad9330e08214e1ed152f7f9edac9f7984233283d3e520c30c2a,3,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.182379
02ae6c8af9e35fec1cb43cc389e812b5757a372c96d81fdecf6bb34d98f390db,2,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.0767
02b1244da80888fe5b6e2767a51fa82feb9375e47fe3a3295de639a3ff2786aa,4,Estrutura Predial > Alvenaria / Pisos / Estrutura,Hidrossanitária > Hidráulica,0.059819
02b6583121f26af0f6eddad308ca54ab4aa0692c7d5311beafa08da21655f613,3,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",Hidrossanitária > Hidráulica,0.03603
02bd75596c005551c5c61aec2817fc610a46d92eb826460c44db0a1382d80ddf,5,Elétrica > Iluminação,Elétrica > Iluminação,0.273587
02cfe87f2011e977156b9c80f37e2902a9fa982eb1c9f4d4ffbf862c36f4c1a6,3,Estrutura Predial > Forro,Estrutura Predial > Forro,0.21874
02d0aced9f08de16c0798f60d1cabbdebbf9e4899e07faecc65b24315418e632,3,Estrutura Predial > Alvenaria / Pisos / Estrutura,Manutenção Preventiva > Esgoto,0.038108
02d30046534cbe793f4b13a33799ba8f8071a098757f06a5327635d57f96bde4,2,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.205747
02d300aa8488fdd1aadc5517b3a7a861e48e5af116f360fd912e6425cbce40c3,2,Elétrica > Gerador,Elétrica > Gerador,0.072508
