linha	categoria_historica	pred_naive_bayes	conf_naive_bayes	acerto_naive_bayes	pred_regressao_logistica	conf_regressao_logistica	acerto_regressao_logistica	pred_linear_svc	conf_linear_svc	acerto_linear_svc	pred_sgd	conf_sgd	acerto_sgd	pred_extra_trees	conf_extra_trees	acerto_extra_trees	pred_random_forest	conf_random_forest	acerto_random_forest	pred_lstm	conf_lstm	acerto_lstm
8010	Estrutura Predial > Alvenaria / Pisos / Estrutura	Estrutura Predial > Esquadrias, porta, portão e janelas	0.5794	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.4824	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1086	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.4067	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.825	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.665	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.6306	0
8011	Outros > Erro de chamado	Climatização > Ar condicionado	0.4733	0	Outros > Erro de chamado	0.2064	1	Outros > Erro de chamado	0.0437	1	Outros > Erro de chamado	0.1552	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.455	0	Outros > Erro de chamado	0.285	1	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.2531	0
8012	Hidrossanitária > Hidráulica	Hidrossanitária > Hidráulica	0.9028	1	Hidrossanitária > Hidráulica	0.4391	1	Hidrossanitária > Hidráulica	0.0744	1	Hidrossanitária > Hidráulica	0.3827	1	Hidrossanitária > Hidráulica	0.815	1	Hidrossanitária > Hidráulica	0.65	1	Hidrossanitária > Hidráulica	0.4952	1
8013	Estrutura Predial > Esquadrias, porta, portão e janelas	Estrutura Predial > Esquadrias, porta, portão e janelas	0.544	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.2589	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.0463	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.2441	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.79	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.665	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.5868	1
8014	Estrutura Predial > Alvenaria / Pisos / Estrutura	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.5322	1	Outros > Erro de chamado	0.1393	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0325	1	Outros > Erro de chamado	0.1108	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.325	1	Outros > Erro de chamado	0.275	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.2263	1
8015	Hidrossanitária > Hidráulica	Climatização > Ar condicionado	0.6733	0	Hidrossanitária > Hidráulica	0.2391	1	Hidrossanitária > Hidráulica	0.0575	1	Hidrossanitária > Hidráulica	0.2607	1	Hidrossanitária > Hidráulica	0.705	1	Hidrossanitária > Hidráulica	0.41	1	Hidrossanitária > Hidráulica	0.5029	1
8016	Hidrossanitária > Hidráulica	Hidrossanitária > Hidráulica	0.8847	1	Hidrossanitária > Hidráulica	0.227	1	Hidrossanitária > Hidráulica	0.0674	1	Hidrossanitária > Hidráulica	0.257	1	Hidrossanitária > Hidráulica	0.555	1	Hidrossanitária > Hidráulica	0.42	1	Manutenção Preventiva > Esgoto	0.1778	0
8017	Climatização > Ar condicionado	Climatização > Ar condicionado	0.8545	1	Climatização > Ar condicionado	0.2952	1	Climatização > Ar condicionado	0.0788	1	Climatização > Ar condicionado	0.3356	1	Climatização > Ar condicionado	0.84	1	Climatização > Ar condicionado	0.73	1	Climatização > Ar condicionado	0.737	1
8018	Climatização > Ar condicionado	Climatização > Ar condicionado	0.9664	1	Climatização > Ar condicionado	0.4601	1	Climatização > Ar condicionado	0.0942	1	Climatização > Ar condicionado	0.4632	1	Climatização > Ar condicionado	0.95	1	Climatização > Ar condicionado	0.94	1	Climatização > Ar condicionado	0.967	1
8019	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	Climatização > Ar condicionado	0.2707	0	Outros > Erro de chamado	0.1638	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.0458	1	Outros > Erro de chamado	0.1211	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.3	1	Outros > Erro de chamado	0.26	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.3136	1
8020	Climatização > Ar condicionado	Climatização > Ar condicionado	0.9438	1	Climatização > Ar condicionado	0.3673	1	Climatização > Ar condicionado	0.104	1	Climatização > Ar condicionado	0.3802	1	Climatização > Ar condicionado	0.69	1	Climatização > Ar condicionado	0.755	1	Climatização > Ar condicionado	0.6986	1
8021	Climatização > Ar condicionado	Climatização > Ar condicionado	0.9974	1	Climatização > Ar condicionado	0.9445	1	Climatização > Ar condicionado	0.3091	1	Climatização > Ar condicionado	0.7988	1	Climatização > Ar condicionado	0.995	1	Climatização > Ar condicionado	0.965	1	Climatização > Ar condicionado	0.9287	1
8022	Climatização > Ar condicionado	Climatização > Ar condicionado	0.9941	1	Climatização > Ar condicionado	0.7773	1	Climatização > Ar condicionado	0.1517	1	Climatização > Ar condicionado	0.6773	1	Climatização > Ar condicionado	0.92	1	Climatização > Ar condicionado	0.85	1	Climatização > Ar condicionado	0.5258	1
8023	Hidrossanitária > Hidráulica	Hidrossanitária > Hidráulica	0.5075	1	Hidrossanitária > Hidráulica	0.1858	1	Hidrossanitária > Hidráulica	0.0529	1	Hidrossanitária > Hidráulica	0.186	1	Hidrossanitária > Hidráulica	0.665	1	Hidrossanitária > Hidráulica	0.475	1	Hidrossanitária > Hidráulica	0.2237	1
8024	Elétrica > Iluminação	Climatização > Ar condicionado	0.478	0	Elétrica > Instalações elétricas	0.1523	0	Elétrica > Instalações elétricas	0.0403	0	Elétrica > Instalações elétricas	0.1135	0	Elétrica > Instalações elétricas	0.42	0	Elétrica > Instalações elétricas	0.315	0	Projetos e Reformas > Reforma	0.2351	0
8025	Posto de trabalho > Contratação de Posto de trabalho	Posto de trabalho > Contratação de Posto de trabalho	0.6602	1	Posto de trabalho > Contratação de Posto de trabalho	0.9479	1	Posto de trabalho > Contratação de Posto de trabalho	0.1813	1	Posto de trabalho > Contratação de Posto de trabalho	0.5634	1	Posto de trabalho > Contratação de Posto de trabalho	0.975	1	Posto de trabalho > Contratação de Posto de trabalho	0.985	1	Posto de trabalho > Contratação de Posto de trabalho	0.992	1
8026	Posto de trabalho > Contratação de Posto de trabalho	Posto de trabalho > Contratação de Posto de trabalho	0.5307	1	Posto de trabalho > Contratação de Posto de trabalho	0.9269	1	Posto de trabalho > Contratação de Posto de trabalho	0.1502	1	Posto de trabalho > Contratação de Posto de trabalho	0.5575	1	Posto de trabalho > Contratação de Posto de trabalho	0.98	1	Posto de trabalho > Contratação de Posto de trabalho	0.99	1	Posto de trabalho > Contratação de Posto de trabalho	0.958	1
